2026-07-25 22:19:03,323 | INFO | __main__ | Starting processing for input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
2026-07-25 22:19:03,326 | INFO | file_manager | Successfully read input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
2026-07-25 22:19:03,352 | INFO | API_LyricsAnalyzer | Submitting song analysis request for 'Song title: I walk alone' by 'Artist : Tarja'
2026-07-25 22:19:11,651 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-07-25 22:19:11,868 | INFO | API_LyricsAnalyzer | LLM analysis completed for 'Song title: I walk alone' by 'Artist : Tarja'
2026-07-25 22:19:11,873 | INFO | parser | LLM response parsed successfully.
2026-07-25 22:19:11,886 | INFO | parser | Parsed response passed schema validation.
2026-07-25 22:23:12,160 | INFO | __main__ | Starting processing for input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
2026-07-25 22:23:12,161 | INFO | file_manager | Successfully read input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
2026-07-25 22:23:12,164 | INFO | API_LyricsAnalyzer | Submitting song analysis request for 'Song title: I walk alone' by 'Artist : Tarja'
2026-07-25 22:23:18,377 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-07-25 22:23:18,583 | INFO | API_LyricsAnalyzer | LLM analysis completed for 'Song title: I walk alone' by 'Artist : Tarja'
2026-07-25 22:23:18,583 | INFO | parser | LLM response parsed successfully.
2026-07-25 22:23:18,591 | INFO | parser | Parsed response passed schema validation.
2026-07-25 22:23:46,727 | INFO | __main__ | Starting processing for input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
2026-07-25 22:23:46,728 | INFO | file_manager | Successfully read input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
2026-07-25 22:23:46,733 | INFO | API_LyricsAnalyzer | Submitting song analysis request for 'Song title: I walk alone' by 'Artist : Tarja'
2026-07-25 22:23:52,401 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-07-25 22:23:52,569 | INFO | API_LyricsAnalyzer | LLM analysis completed for 'Song title: I walk alone' by 'Artist : Tarja'
2026-07-25 22:23:52,570 | INFO | parser | LLM response parsed successfully.
2026-07-25 22:23:52,577 | INFO | parser | Parsed response passed schema validation.
2026-07-25 22:56:23,642 | INFO | __main__ | Song Analyzer started.
2026-07-25 22:56:23,643 | INFO | __main__ | Starting processing for input file: D:\Viky_Workspace\Personal_Projects\song_analyzer\data\imports\I walk alone-Tarja.txt
